Steps, Time,,,,,,Steps, Time
22,0.08100009,,,,,,23,0.053999901
22,0.013000011,,,,,,15,0.003000021
22,0.042999983,,,,,,16,0.014999866
22,0.029000044,,,,,,26,0.213000059
23,0.040999889,0.094293331,23,,,,30,0.159999847
23,0.042000055,,,,,,23,0.096000195
23,0.243000031,,,,,,23,0.212000132
23,0.078999996,,,,,,25,0.159000158
23,0.028000116,,,,,,24,0.07400012
23,0.131000042,,,,,,16,0.004999876
23,0.128999949,,,,,,27,0.148000002
23,0.037999868,,,,,,19,0.013999939
23,0.092000008,,,,,,28,0.25
23,0.073999882,,,,,,27,0.026000023
23,0.09100008,,,,,,25,0.087000132
23,0.194000006,,,,,,21,0.032999992
23,0.064999819,,,,,,24,0.149999857
23,0.085999966,,,,,,18,0.072000027
23,0.031999826,,,,,,28,0.263999939
23,0.031000137,,,,,,21,0.039000034
23,0.15899992,,,,,,23,0.04700017
23,0.21600008,,,,,,17,0.023000002
23,0.049999952,,,,,,16,0.018000126
23,0.154000044,,,,,,22,0.10800004
23,0.378999949,,,,,,22,0.046000004
23,0.042000055,,,,,,21,0.06099987
23,0.069000006,,,,,,25,0.023999929
23,0.036000013,,,,,,20,0.003999949
23,0.015000105,,,,,,28,0.09499979
23,0.122999907,,,,,,23,0.055999994
23,0.122999907,,,,,,27,0.051000118
23,0.045000076,,,,,,20,0.06099987
23,0.069000006,,,,,,24,0.211999893
23,0.161000013,,,,,,21,0.006999969
23,0.116000175,,,,,,27,0.397000074
23,0.03399992,,,,,,24,0.035999775
23,0.037000179,,,,,,26,0.097000122
23,0.039000034,,,,,,28,0.292000055
23,0.012000084,,,,,,24,0.051000118
23,0.09100008,,,,,,23,0.046999931
23,0.121000051,,,,,,28,0.635999918
23,0.142000198,,,,,,25,0.119999886
23,0.100999832,,,,,,27,0.278000116
23,0.073999882,,,,,,26,0.014999866
23,0.118000031,,,,,,15,0.003000021
23,0.464999914,,,,,,20,0.016000032
23,0.141000032,,,,,,24,0.062000036
23,0.042000055,,,,,,25,0.044999838
23,0.177000046,,,,,,24,0.046999931
23,0.06099987,,,,,,30,0.25999999
23,0.148000002,,,,,,28,0.614000082
23,0.046999931,,,,,,18,0.069000006
23,0.067000151,,,,,,22,0.075000048
